0,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough
1,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough
2,Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry
3,George Weston Bakeries Thomas English Muffins
4,Waffles Buttermilk Frozen Ready-To-Heat
5,Waffle Buttermilk Frozen Ready-To-Heat Toasted
6,Waffle Buttermilk Frozen Ready-To-Heat Microwaved
7,Waffle Plain Frozen Ready-To-Heat Microwave
8,Pie Crust Cookie-Type Graham Cracker Ready Crust
9,Pie Crust Cookie-Type Chocolate Ready Crust
10,Dutch Apple Pie
11,Pie Crust Deep Dish Frozen Unbaked Made With Enriched Flour
12,Waffles Chocolate Chip Frozen Ready-To-Heat
13,Tostada Shells Corn
14,Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena)
15,Bread Pound Cake Type Pan De Torta Salvadoran
16,Pastry Pastelitos De Guava (Guava Pastries)
17,Crackers Snack Goya Crackers
18,Crackers Cream Gamesa Sabrosas
19,Crackers Cream La Moderna Rikis Cream Crackers
20,Bread White Wheat
21,Bagels Wheat
22,Cream Puff Eclair Custard Or Cream Filled Iced
23,Tortillas Ready-To-Bake Or -Fry Flour Shelf Stable
24,Snacks Beef Jerky Chopped And Formed
25,Snacks Corn-Based Extruded Chips Plain
26,Snacks Corn-Based Extruded Chips Barbecue-Flavor
27,Snacks Corn-Based Extruded Cones Plain
28,Snacks Fruit Leather Pieces
29,Snacks Fruit Leather Rolls
30,Snacks Granola Bars Hard Plain
31,Snacks Granola Bars Hard Almond
32,Snacks Granola Bars Soft Uncoated Raisin
33,Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip
34,Honey-Combed With Peanut Butter
35,Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter
36,Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip
37,Snacks Popcorn Oil-Popped Microwave Regular Flavor No Trans Fat
38,Snacks Popcorn Cakes
39,Snacks Popcorn Caramel-Coated With Peanuts
40,Snacks Popcorn Caramel-Coated Without Peanuts
41,Snacks Potato Chips Made From Dried Potatoes Reduced Fat
42,Snacks Potato Chips Made From Dried Potatoes Sour-Cream And Onion-Flavor
43,Snacks Pretzels Hard Plain Salted
44,Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor
45,Snacks Rice Cakes Brown Rice Sesame Seed
46,Snacks Tortilla Chips Plain White Corn Salted
47,Snacks Tortilla Chips Nacho Cheese
48,Snacks Tortilla Chips Ranch-Flavor
49,Snacks Trail Mix Regular
50,Almond Joy Candy Bar
51,Twizzlers Cherry Bites
52,Nestle Bit-O-Honey Candy Chews
53,Nestle Butterfinger Bar
54,Caramels Chocolate-Flavor Roll
55,Baking Chocolate Unsweetened Liquid
56,Unsweetened Baking Chocolate
57,Confectioners Coating Yogurt
58,Confectioners Coating Peanut Butter
59,White Chocolate
60,Ice Creams Vanilla Light
61,Ice Creams Vanilla Rich
62,Desserts Flan Caramel Custard Prepared-From-Recipe
63,Ice Creams Vanilla
64,Ice Creams Vanilla Light Soft-Serve
65,Sherbet Orange
66,Fudge Peanut Butter Prepared-From-Recipe
67,Fudge Vanilla Prepared-From-Recipe
68,Fudge Vanilla With Nuts
69,Nestle Goobers Chocolate Covered Peanuts
70,Nestle Baby Ruth Bar
71,Twizzlers Strawberry Twists Candy
72,Syrups Table Blends Pancake With Butter
73,Ice Creams Chocolate Light
74,Nestle Chunky Bar
75,Milk Chocolate
76,Puddings Banana Dry Mix Instant Prepared With 2% Milk
77,Puddings Banana Dry Mix Regular Prepared With 2% Milk
78,Andreas Gluten Free Soft Dinner Roll
79,Crunchmaster Multi-Grain Crisps Snack Crackers Gluten-Free
80,Glutino Gluten Free Cookies Chocolate Vanilla Creme
81,Glutino Gluten Free Cookies Vanilla Creme
82,Pepperidge Farm Goldfish Baked Snack Crackers Original
83,Pepperidge Farm Goldfish Baked Snack Crackers Parmesan
84,Pepperidge Farm Goldfish Baked Snack Crackers Pizza
85,Rudis Gluten-Free Bakery Original Sandwich Bread
86,Udis Gluten Free Soft & Delicious White Sandwich Bread
87,Udis Gluten Free Soft & Hearty Whole Grain Bread
88,Udis Gluten Free Whole Grain Dinner Rolls
89,Vans Gluten Free Totally Original Pancakes
90,Seaweed Canadian Cultivated Emi-Tsunomata Dry
91,Seaweed Canadian Cultivated Emi-Tsunomata Rehydrated
92,Potatoes Hash Brown Refrigerated Unprepared
93,Potatoes Hash Brown Refrigerated Prepared Pan-Fried In Canola Oil
94,Sweet Potatoes French Fried Frozen As Packaged Salt Added In Processing
95,Fruit-Flavored Drink Dry Powdered Mix Low Calorie With Aspartame
96,Pectin Liquid
97,Frozen Novelties Ice Cream Type Vanilla Ice Cream Light No Sugar Added Chocolate Coated
98,Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie
99,Bologna Beef And Pork Low Fat
100,Milk Dessert Frozen Milk-Fat Free Chocolate
101,Whipped Topping Frozen Low Fat
102,Cream Substitute Powdered Light
103,Mars Snackfood Us M&Ms Peanut Butter Chocolate
104,Babyfood Apple Yogurt Dessert Strained
105,Vegetable Oil-Butter Spread Reduced Calorie
106,Salad Dressing Blue Or Roquefort Cheese Dressing Light
107,Salad Dressing French Dressing Reduced Calorie
108,Turkey And Pork Sausage Fresh Bulk Patty Or Link Cooked
109,Mayonnaise Made With Tofu
110,Frankfurter Beef Low Fat
111,Milk Buttermilk Fluid Cultured Reduced Fat
112,Pork Sausage Rice Links Brown And Serve Cooked
113,Salad Dressing Blue Or Roquefort Cheese Dressing Fat-Free
114,Salad Dressing Mayonnaise-Like Fat-Free
115,Mars Snackfood Us Milky Way Midnight Bar
116,Flaxseed Oil
117,Cheese Cottage Lowfat 1% Milkfat Lactose Reduced
118,Salad Dressing Bacon And Tomato
119,Grated Parmesan Cheese (Low-Sodium)
120,Jams Preserves Marmalade Reduced Sugar
121,Fruit-Flavored Drink Powder With High Vitamin C With Other Added Vitamins Low Calorie
122,Tomato And Vegetable Juice Low Sodium
123,Turkey Wing Smoked Cooked With Skin Bone Removed
124,Turkey Drumstick Smoked Cooked With Skin Bone Removed
125,Chocolate-Flavored Drink Whey And Milk Based
126,Pork Cured Bacon Cooked Broiled Pan-Fried Or Roasted Reduced Sodium
127,Turkey Light Or Dark Meat Smoked Cooked Skin And Bone Removed
128,Hearts Of Palm Raw
129,Post Shredded Wheat N Bran Spoon-Size
130,Cheese Cottage Lowfat 1% Milkfat With Vegetables
131,Yeast Extract Spread
132,Babyfood Juice Pear
133,Chicken Meatless Breaded Fried
134,Babyfood Meat Beef With Vegetables Toddler
135,Frozen Novelties Juice Type Juice With Cream
136,Tofu Yogurt
137,Alcoholic Beverage Rice (Sake)
138,Millet Puffed
