0,Calories 100g
1,Fat (g)
2,Protein (g)
3,Carbohydrate (g)
4,Sugars (g)
5,Fiber (g)
6,Cholesterol (mg)
7,Saturated Fats (g)
8,Calcium (mg)
9,Iron Fe (mg)
10,Potassium K (mg)
11,Magnesium (mg)
12,Vitamin A IU (IU)
13,Vitamin A RAE (mcg)
14,Vitamin C (mg)
15,Vitamin B-12 (mcg)
16,Vitamin D (mcg)
17,Vitamin E (Alpha-Tocopherol) (mg)
18,Net-Carbs (g)
19,Water (g)
20,Omega 3s (mg)
21,Omega 6s (mg)
22,PRAL score
23,Trans Fatty Acids (g)
24,Sucrose (g)
25,Glucose (Dextrose) (g)
26,Fructose (g)
27,Lactose (g)
28,Maltose (g)
29,Galactose (g)
30,Starch (g)
31,Phosphorus P (mg)
32,Sodium (mg)
33,Zinc Zn (mg)
34,Copper Cu (mg)
35,Manganese (mg)
36,Selenium Se (mcg)
37,Fluoride F (mcg)
38,Thiamin (B1) (mg)
39,Riboflavin (B2) (mg)
40,Niacin (B3) (mg)
41,Pantothenic acid (B5) (mg)
42,Vitamin B6 (mg)
43,Folate (B9) (mcg)
44,Folic acid (mcg)
45,Food Folate (mcg)
46,Folate DFE (mcg)
47,Choline (mg)
48,Betaine (mg)
49,Retinol (mcg)
50,Carotene beta (mcg)
51,Carotene alpha (mcg)
52,Lycopene (mcg)
53,Lutein + Zeaxanthin (mcg)
54,Vitamin D2 (ergocalciferol) (mcg)
55,Vitamin D3 (cholecalciferol) (mcg)
56,Vitamin D (IU) (IU)
57,Vitamin K (mcg)
58,Dihydrophylloquinone (mcg)
59,Menaquinone-4 (mcg)
60,Fatty acids total monounsaturated (mg)
61,Fatty acids total polyunsaturated (mg)
62,18:3 n-3 ccc (ALA) (mg)
63,20:5 n-3 (EPA) (mg)
64,22:5 n-3 (DPA) (mg)
65,22:6 n-3 (DHA) (mg)
66,Tryptophan (mg)
67,Threonine (mg)
68,Isoleucine (mg)
69,Leucine (mg)
70,Lysine (mg)
71,Methionine (mg)
72,Cystine (mg)
73,Phenylalanine (mg)
74,Tyrosine (mg)
75,Valine (mg)
76,Arginine (mg)
77,Histidine (mg)
78,Alanine (mg)
79,Aspartic acid (mg)
80,Glutamic acid (mg)
81,Glycine (mg)
82,Proline (mg)
83,Serine (mg)
84,Hydroxyproline (mg)
85,Alcohol (g)
86,Caffeine (mg)
87,Theobromine (mg)
